"","content","video_name.VIDEO_NAMEEminem - Love The Way You Lie ft. Rihanna","video_name.VIDEO_NAMEKaty Perry - Roar","video_name.VIDEO_NAMELMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock","video_name.VIDEO_NAMEPSY - GANGNAM STYLE(?????) M/V","video_name.VIDEO_NAMEShakira - Waka Waka","class","date_missing","year","month","day","hour","minute","second","week","quarter","day_of_year","week_of_year","weekend","hour_sin","hour_cos","weekday_num","weekday_sin","weekday_cos","month_sin","month_cos","author_freq","cpt_ratio","has_url","contains_out","contains_check","contains_please","contains_youtube","contains_subscribe","contains_video","contains_channel","contains_money","contains_follow","word_count"
"725","http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K",0,0,0,1,0,1,0,2013,11,28,23,57,13,48,4,332,48,0,-2.588190e-01, 9.659258e-01,5,-9.749279e-01,-0.2225209,-5.000000e-01, 8.660254e-01,1,0.272727273,1,0,0,0,0,0,0,0,0,0,  1
"726","What&#39;s with the guys jacket? 1 sleeve and a sleeveless arm",0,0,1,0,0,0,0,2015, 5,17,11,50,46,20,2,137,20,1, 2.588190e-01,-9.659258e-01,1, 7.818315e-01, 0.6234898, 5.000000e-01,-8.660254e-01,1,0.022222222,0,0,0,0,0,0,0,0,0,0, 11
"727","http://hackfbaccountlive.com/?ref=4344749",0,1,0,0,0,1,0,2014,10,31,20,39,28,44,4,304,44,0,-8.660254e-01, 5.000000e-01,6,-7.818315e-01, 0.6234898,-8.660254e-01, 5.000000e-01,1,0.000000000,1,0,0,0,0,0,0,0,0,0,  1
"728","if u love rihanna subscribe me",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.000000000,0,0,0,0,0,1,0,0,0,0,  6
"729","You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the mammoth waste achieve the shock? How does the limit reduce the delicate minute? How does the meaty scale adapt the oil?",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,7,0.143369176,0,1,1,0,0,0,0,0,1,0, 65
"730","check out you tube keithlinscotts one word keithlinscotts you tube .com",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.000000000,0,1,1,0,0,0,0,0,0,0, 11
"731","Love it",0,0,0,0,1,0,0,2013, 9, 6,19,35, 1,36,3,249,36,0,-9.659258e-01, 2.588190e-01,6,-7.818315e-01, 0.6234898,-1.000000e+00,-1.836910e-16,1,0.166666667,0,0,0,0,0,0,0,0,0,0,  2
"732","OMG I LOVE YOU KATY PARRY YOUR SONGS ROCK!!!!!!!!!!!!!!!!! THATS A TOTAL SUBSCRIBE",0,1,0,0,0,0,0,2014,10, 8,12,39,49,41,4,281,41,0, 1.224606e-16,-1.000000e+00,4,-4.338837e-01,-0.9009689,-8.660254e-01, 5.000000e-01,1,1.000000000,0,0,0,0,0,0,0,0,0,0, 13
"733","Take a break from Katie and help me reach 100 subscribers this month! New music and free downloads!",0,1,0,0,0,1,0,2014, 8,11,17,32, 0,32,3,223,33,0,-9.659258e-01,-2.588190e-01,2, 9.749279e-01,-0.2225209,-8.660254e-01,-5.000000e-01,1,0.038961039,0,0,0,0,0,0,0,0,0,0, 18
"734","Alright ladies, if you like this song, then check out John Rage. He&#39;s a smoking hot rapper coming into the game. He&#39;s not better than Eminem lyrically, but he&#39;s hotter. Hear some of his songs on my channel.",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.044025157,0,1,1,0,0,0,0,1,0,0, 38
"735","Why so many disliked??????!!!!!!",0,0,0,0,1,0,0,2015, 5,27,20, 4,41,21,2,147,22,0,-8.660254e-01, 5.000000e-01,4,-4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.058823529,0,0,0,0,0,0,0,0,0,0,  4
"736","Waka waka !!!",0,0,0,0,1,0,0,2015, 5,22,13,23,20,21,2,142,21,0,-2.588190e-01,-9.659258e-01,6,-7.818315e-01, 0.6234898, 5.000000e-01,-8.660254e-01,1,0.125000000,0,0,0,0,0,0,0,0,0,0,  3
"737","Hey guys can you check my YouTube channel I know you hate comments like this one but I promise if you check my videos it will be entertaining I do Shotgun Montages,Ninja Defuse Montages and Trolling please guys can you check them out and thanks have a good day!!!!!!!",0,0,0,1,0,1,0,2014,11,13,15,47,27,46,4,317,46,0,-7.071068e-01,-7.071068e-01,5,-9.749279e-01,-0.2225209,-5.000000e-01, 8.660254e-01,1,0.056872038,0,1,1,1,0,0,0,1,0,0, 49
"738","Check out this video on YouTube:",0,0,1,0,0,1,0,2015, 2,20, 1,54,39, 8,1, 51, 8,0, 2.588190e-01, 9.659258e-01,6,-7.818315e-01, 0.6234898, 8.660254e-01, 5.000000e-01,2,0.115384615,0,1,0,0,0,0,1,0,0,0,  6
"739","Watch Maroon 5's latest 2nd single from V (It Was Always You) www.youtube. com/watch?v=TQ046FuAu00",0,1,0,0,0,1,0,2014, 8,20,19, 4, 1,34,3,232,34,0,-9.659258e-01, 2.588190e-01,4,-4.338837e-01,-0.9009689,-8.660254e-01,-5.000000e-01,1,0.157142857,0,0,0,0,1,0,0,0,0,0, 14
"740","I like it",1,0,0,0,0,0,0,2015, 5,25, 3,30,30,21,2,145,22,0, 7.071068e-01, 7.071068e-01,2, 9.749279e-01,-0.2225209, 5.000000e-01,-8.660254e-01,1,0.142857143,0,0,0,0,0,0,0,0,0,0,  3
"741","I really love watching football and also Ive started off making income with out financial risk from acquiring bonus deals. Its this weird technique where you wager on something with one bookmakers and bet against it on Betfair. You secure the bonus as income . A chap named Jim Vanstone is finding the wagers free on his own website Vanstone Secrets (Google it!). Ive made about 500 quid thus far. And it is cost-free. I guess the bookies pay him to obtain new consumers, yet this actually works.",0,0,0,0,1,1,0,2013,11, 5, 6,23,41,45,4,309,45,0, 1.000000e+00, 6.123032e-17,3, 4.338837e-01,-0.9009689,-5.000000e-01, 8.660254e-01,1,0.035532995,0,1,0,0,0,0,0,0,0,0, 88
"742","Every time I hear this song, I think about Iniesta&#39;s goal against the Netherlands...",0,0,0,0,1,0,0,2015, 5,27,13,51,19,21,2,147,22,0,-2.588190e-01,-9.659258e-01,4,-4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.075757576,0,0,0,0,0,0,0,0,0,0, 14
"743","I love this song",1,0,0,0,0,0,0,2015, 5,19,11,11,27,20,2,139,21,0, 2.588190e-01,-9.659258e-01,3, 4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,2,0.076923077,0,0,0,0,0,0,0,0,0,0,  4
"744","please subscribe i am a new youtuber and need help please subscribe and i will subscribe back :D hoppa HOPPA GaNgAm StYlE",0,0,0,1,0,1,0,2014,11, 4,14,38,42,44,4,308,45,0,-5.000000e-01,-8.660254e-01,3, 4.338837e-01,-0.9009689,-5.000000e-01, 8.660254e-01,1,0.121212121,0,0,0,1,0,1,0,0,0,0, 22
"745","Check out my remix to Tyga&#39;s - Molly ft. Whiz Khalifa Peace and love",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.115384615,0,1,0,0,0,0,0,0,0,0, 14
"746","What free gift cards? Go here http://www.swagbucks.com/p/register?rb=13017194",0,0,0,1,0,1,0,2014,11, 6, 9,41, 7,45,4,310,45,0, 7.071068e-01,-7.071068e-01,5,-9.749279e-01,-0.2225209,-5.000000e-01, 8.660254e-01,1,0.037735849,1,0,0,0,0,0,0,0,0,0,  7
"747","http://www.amazon.com/Knight-Dawn-cursed-Daniel-N-ebook/dp/B00MPPQHRI/ref=sr_1_7?s=digital-text&%3Bie=UTF8&%3Bqid=1408122684&%3Bsr=1-7&%3Bkeywords=knight&tag=wattpad-20 some people are very talented but some are more talented but there is no sponsor",0,1,0,0,0,1,0,2014, 8,18,18, 5,37,33,3,230,34,0,-1.000000e+00,-1.836910e-16,2, 9.749279e-01,-0.2225209,-8.660254e-01,-5.000000e-01,1,0.100000000,1,0,0,0,0,0,0,0,0,0, 16
"748","Check out this video on YouTube:",0,0,1,0,0,1,0,2015, 4,25, 0,37,34,17,2,115,17,1, 0.000000e+00, 1.000000e+00,7,-2.449213e-16, 1.0000000, 8.660254e-01,-5.000000e-01,1,0.115384615,0,1,0,0,0,0,1,0,0,0,  6
"749","https://vimeo.com/107297364",0,1,0,0,0,1,0,2014, 9,29,19,18, 9,39,3,272,40,0,-9.659258e-01, 2.588190e-01,2, 9.749279e-01,-0.2225209,-1.000000e+00,-1.836910e-16,1,0.000000000,1,0,0,0,0,0,0,0,0,0,  1
"750","https://www.facebook.com/groups/100877300245414/",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.000000000,1,0,0,0,0,0,0,0,0,0,  1
"751","SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL SUBSCRIBE BACK THANKS",0,0,0,1,0,1,0,2014, 1,19,17,20,58, 3,1, 19, 3,1,-9.659258e-01,-2.588190e-01,1, 7.818315e-01, 0.6234898, 5.000000e-01, 8.660254e-01,1,1.000000000,0,0,0,0,0,0,0,0,0,0, 32
"752","That shake and that golden and black robot were really partying",0,0,1,0,0,0,0,2015, 5,19,23, 9,27,20,2,139,21,0,-2.588190e-01, 9.659258e-01,3, 4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.018867925,0,0,0,0,0,0,0,0,0,0, 11
"753","CHECK OUT MY CHANNEL",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,2,1.000000000,0,0,0,0,0,0,0,0,0,0,  4
"754","https://soundcloud.com/jackal-and-james/wrap-up-the-night",0,0,0,1,0,1,0,2014,11, 6,22,53, 8,45,4,310,45,0,-5.000000e-01, 8.660254e-01,5,-9.749279e-01,-0.2225209,-5.000000e-01, 8.660254e-01,1,0.000000000,1,0,0,0,0,0,0,0,0,0,  1
"755","adam b beats check out my page",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,3,0.000000000,0,1,1,0,0,0,0,0,0,0,  7
"756","You guys should check out this EXTRAORDINARY website called FIREPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at FIREPA.COM ! Visit FIREPA.COM and check it out! Lake . Duzafizz . Singlewave . Spourmo . Burder . Colorful . Claster . Incandescent . Ambitious . Winooze . Absorbing . Macabre . Crestboot . Boxium . Womanly . Tan . Ybuwyn . Forgetful . Pepelexa . Zealous",0,0,0,0,1,1,0,2013,10,27, 2,55, 6,43,4,300,43,1, 5.000000e-01, 8.660254e-01,1, 7.818315e-01, 0.6234898,-8.660254e-01, 5.000000e-01,4,0.201863354,0,1,1,0,0,0,0,0,1,0, 80
"757","COFFEE ! LOVERS ! PLEASE ! READ ! Check out a song I wrote and sing on You Tube called COFFEE LOVA.Type COFFEE LOVA like I spell it while your already on You Tube hit enter.Then look for video titled COFFEE LOVA hit enter and BLAST ! OFF !",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.377049180,0,1,0,0,0,0,1,0,0,0, 49
"758","Maybe no one will probably read this. But just in case you do Can You Put A ""Thumbs Up ""So Others Can See. I Just started rapping seriously (Type in Lunden- 1990 Video) just a simple button? can help my dreams come true. people will ignore this but if you don&#39;t can you listen and subscribe Thank you all God Bless.",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.080645161,0,0,0,0,0,1,0,0,0,0, 61
"759","Subscribe My Channel",0,0,1,0,0,1,0,2015, 4, 4, 6,11,32,14,2, 94,14,1, 1.000000e+00, 6.123032e-17,7,-2.449213e-16, 1.0000000, 8.660254e-01,-5.000000e-01,1,0.166666667,0,0,0,0,0,0,0,0,0,0,  3
"760","Hey guys whats up? I found this app that lets you get free gift card vouchers like psn cards,X-box live cards and even amazon gift cards. For free! All you have to do is simply just download the app from the app store. It is called juno wallet. All you have to do is just sign up for the app and then complete a few surveys or just download some other free apps and you get money like 10 cents. Also, if you type in the code IM2458444. You will also start off with $0.25 free!!",0,0,0,0,1,1,0,2013,10,27,19, 0,17,43,4,300,43,1,-9.659258e-01, 2.588190e-01,1, 7.818315e-01, 0.6234898,-8.660254e-01, 5.000000e-01,1,0.030898876,0,0,0,0,0,0,0,0,1,0, 96
"761","how does this video have 2,127,322,484 views if there are only 7 million people on earth?",0,0,0,1,0,0,0,2014,11, 8, 9,32,14,45,4,312,45,1, 7.071068e-01,-7.071068e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.000000000,0,0,0,0,0,0,1,0,0,0, 16
"762","Like this comment for no reason.",0,0,1,0,0,1,0,2015, 2,12, 1,14,44, 7,1, 43, 7,0, 2.588190e-01, 9.659258e-01,5,-9.749279e-01,-0.2225209, 8.660254e-01, 5.000000e-01,1,0.038461538,0,0,0,0,0,0,0,0,0,0,  6
"763","best song eva",0,0,0,0,1,0,0,2013,10, 4, 3,56, 4,40,4,277,40,0, 7.071068e-01, 7.071068e-01,6,-7.818315e-01, 0.6234898,-8.660254e-01, 5.000000e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  3
"764","Check out this playlist on YouTube:",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.103448276,0,1,0,0,0,0,0,0,0,0,  6
"765","This Song Was Good Until It Got Overplayed The Hell Out Of On Radio",0,1,0,0,0,0,0,2014, 9,16, 7,11,53,37,3,259,38,0, 9.659258e-01,-2.588190e-01,3, 4.338837e-01,-0.9009689,-1.000000e+00,-1.836910e-16,1,0.259259259,0,0,0,0,0,0,0,0,0,0, 14
"766","Hey guys! Please join me in my fight to help abused/mistreated animals! All fund will go to helping pay for vet bills/and or helping them find homes! I will place an extra emphasis on helping disabled animals, ones otherwise would just be put to sleep by other animal organizations. Donate please. http://www.gofundme.com/Angels-n-Wingz",0,1,0,0,0,1,0,2014, 7,27, 2,51,43,30,3,208,30,1, 5.000000e-01, 8.660254e-01,1, 7.818315e-01, 0.6234898,-5.000000e-01,-8.660254e-01,1,0.026022305,1,0,0,1,0,0,0,0,0,0, 52
"767","check out my rapping hope you guys like it https://soundcloud.com/nereboy/call-of-the-lostproduce-by-atlastatlas-rapper-jkork and follow and message me :)",0,1,0,0,0,1,0,2014, 8, 2,23,12,49,31,3,214,31,1,-2.588190e-01, 9.659258e-01,7,-2.449213e-16, 1.0000000,-8.660254e-01,-5.000000e-01,1,0.000000000,1,1,1,0,0,0,0,0,0,1, 16
"768","2010:(",1,0,0,0,0,0,0,2015, 5,26,17,26, 2,21,2,146,22,0,-9.659258e-01,-2.588190e-01,3, 4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  1
"769","Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :)",0,0,0,0,1,1,0,2013, 7,29,17,39,24,30,3,210,31,0,-9.659258e-01,-2.588190e-01,2, 9.749279e-01,-0.2225209,-5.000000e-01,-8.660254e-01,6,0.104278075,0,1,1,0,0,0,0,0,1,0,101
"770","SHAKIRA SONG WAKA WAKA",0,0,0,0,1,0,0,2015, 5,20, 9,48, 9,20,2,140,21,0, 7.071068e-01,-7.071068e-01,4,-4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,1.000000000,0,0,0,0,0,0,0,0,0,0,  4
"771","I want to see Shakira, not football :)",0,0,0,0,1,0,0,2013, 9, 6,15,57, 9,36,3,249,36,0,-7.071068e-01,-7.071068e-01,6,-7.818315e-01, 0.6234898,-1.000000e+00,-1.836910e-16,1,0.071428571,0,0,0,0,0,0,0,0,0,0,  8
"772","Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :)",0,0,0,0,1,1,0,2013, 8, 2, 3,15,46,31,3,214,31,0, 7.071068e-01, 7.071068e-01,6,-7.818315e-01, 0.6234898,-8.660254e-01,-5.000000e-01,6,0.104278075,0,1,1,0,0,0,0,0,1,0,101
"773","Pls follow this channel!! http://www.twitch.tv/sevadus",0,0,0,1,0,1,0,2014, 1,20,18,52,12, 3,1, 20, 4,0,-1.000000e+00,-1.836910e-16,2, 9.749279e-01,-0.2225209, 5.000000e-01, 8.660254e-01,1,0.023809524,1,0,0,0,0,0,0,1,0,1,  5
"774","Who else would give Katy perry a good old mighty roar? ;)",0,1,0,0,0,0,0,2014,10, 8, 7,19,15,41,4,281,41,0, 9.659258e-01,-2.588190e-01,4,-4.338837e-01,-0.9009689,-8.660254e-01, 5.000000e-01,1,0.046511628,0,0,0,0,0,0,0,0,0,0, 12
"775","Listen...Check out Andrew Guasch - Crazy, Sick Flow...I&#39;m dope....that&#39;s all there is too it. If you like it Subscribe, if not, Ill be with Aftermath of TDE Soon enough. One Love, Peace.",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,2,0.140740741,0,1,0,0,0,0,0,0,0,0, 32
"776","Check out this video on YouTube:",0,0,1,0,0,1,0,2015, 1,26,18,27, 0, 4,1, 26, 5,0,-1.000000e+00,-1.836910e-16,2, 9.749279e-01,-0.2225209, 5.000000e-01, 8.660254e-01,1,0.115384615,0,1,0,0,0,0,1,0,0,0,  6
"777","http://www.twitch.tv/tareko100 Follow him on twitch and enter the keyword !5800 and you'll have a chance of winning a really nice and expensive gun for csgo that you can sell on the steam market",0,0,0,1,0,1,0,2014,11, 7,14,11,41,45,4,311,45,0,-5.000000e-01,-8.660254e-01,6,-7.818315e-01, 0.6234898,-5.000000e-01, 8.660254e-01,1,0.006802721,1,0,0,0,0,0,0,0,0,0, 33
"778","This song is so AWESOME!!!She made everything stand out and all the viewers could imagine themselves at the setting of the video. Awesome Job Katy Perry!!!!",0,1,0,0,0,0,0,2014,11, 7, 1,17,29,45,4,311,45,0, 2.588190e-01, 9.659258e-01,6,-7.818315e-01, 0.6234898,-5.000000e-01, 8.660254e-01,1,0.105691057,0,1,0,0,0,0,1,0,0,0, 26
"779","You guys should check out this EXTRAORDINARY website called MONEYGQ.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at MONEYGQ.COM ! Visit MONEYGQ.COM and check it out! Memory Ferirama Besloor Shame Eggmode Wazzasoft Sasaroo Reiltas Moderock Plifal Shorogyt Value Scale Qerrassa Qiameth Mogotrevo Hoppler Parede Yboiveth Drirathiel",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,2,0.213166144,0,1,1,0,0,0,0,0,1,0, 61
"780","I like this song",0,0,1,0,0,0,0,2015, 5,18,13, 1, 0,20,2,138,21,0,-2.588190e-01,-9.659258e-01,2, 9.749279e-01,-0.2225209, 5.000000e-01,-8.660254e-01,1,0.066666667,0,0,0,0,0,0,0,0,0,0,  4
"781","Check out our app to solve all your party/drunk problems! https://play.google.com/store/apps/details?id=vn.ibit.AppLocker&hl=en",0,0,1,0,0,1,0,2014,11,10, 7,35,42,45,4,314,46,0, 9.659258e-01,-2.588190e-01,2, 9.749279e-01,-0.2225209,-5.000000e-01, 8.660254e-01,1,0.029411765,1,1,0,0,0,0,0,0,0,0, 11
"782","This past Christmas my dad passed away, to help me cope I picked up a pen and some paper and started to write. Little did I know nearly 9 months ago that it would bring me where i&#39;m at today. Over 7k subscribers and 500k video views. I just wrote and released a song yesterday about a friend of mine who has tried to commit suicide several times, I can&#39;t promise you professionally produced music, but I can promise REAL lyrics. Just click on my picture. Thanks, and thumbs up so others may see?",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.038961039,0,0,0,0,0,0,1,0,0,0, 94
"783","i am 2,126,492,636 viewer :D",0,0,0,1,0,0,0,2014,11, 7,14,25,48,45,4,311,45,0,-5.000000e-01,-8.660254e-01,6,-7.818315e-01, 0.6234898,-5.000000e-01, 8.660254e-01,1,0.100000000,0,0,0,0,0,0,0,0,0,0,  5
"784","This song is true because it is insane because boys will do this to a girl and it is not true that people say that a guy will never do it to a girl but boys YOU LIERS NOW STOP TREATING US GIRLS THIS WAY YOU ALL SUCK!",1,0,0,0,0,0,0,2015, 5,22,16, 1,46,21,2,142,21,0,-8.660254e-01,-5.000000e-01,6,-7.818315e-01, 0.6234898, 5.000000e-01,-8.660254e-01,1,0.285714286,0,0,0,0,0,0,0,0,0,0, 48
"785","SUBSCRIBE TO MY CHANNEL",0,0,1,0,0,1,0,2015, 5,17,14, 2,31,20,2,137,20,1,-5.000000e-01,-8.660254e-01,1, 7.818315e-01, 0.6234898, 5.000000e-01,-8.660254e-01,1,1.000000000,0,0,0,0,0,0,0,0,0,0,  4
"786","I love this song for two reasons: 1.it is about Africa 2.i was born in beautiful south Africa",0,0,0,0,1,0,0,2013, 7,13,13,14,30,28,3,194,28,1,-2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01,-8.660254e-01,1,0.042253521,0,0,0,0,0,0,0,0,0,0, 18
"787","old and good song",0,0,1,0,0,0,0,2015, 5,26,11,13,20,21,2,146,22,0, 2.588190e-01,-9.659258e-01,3, 4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  4
"788","Hey guys I&#39;m 87 cypher im 11 years old and Rap is my life I recently made my second album desire ep . please take a moment to check out my album on YouTube thank you very much for reading every like comment and subscription counts",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.033519553,0,1,1,1,0,0,0,0,0,0, 46
"789","Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music. It would be wonderful if you checked out some of my 8bit remixes! I even have a gangnamstyle 8bit remix if you would like to check that out ;) Thanks!!",0,0,0,1,0,1,0,2013,12,27,23, 7,50,52,4,361,52,0,-2.588190e-01, 9.659258e-01,6,-7.818315e-01, 0.6234898,-2.449213e-16, 1.000000e+00,1,0.035714286,0,1,1,0,0,0,0,0,0,0, 45
"790","Check out this video on YouTube:",0,0,1,0,0,1,0,2015, 1,25,20,56, 6, 4,1, 25, 4,1,-8.660254e-01, 5.000000e-01,1, 7.818315e-01, 0.6234898, 5.000000e-01, 8.660254e-01,1,0.115384615,0,1,0,0,0,0,1,0,0,0,  6
"791","I really don't understand how this has 600 million views lol. I'm not hating or anything, it's just confusing.",0,1,0,0,0,0,0,2014, 9,13,17,48,14,37,3,256,37,1,-9.659258e-01,-2.588190e-01,7,-2.449213e-16, 1.0000000,-1.000000e+00,-1.836910e-16,1,0.024096386,0,0,0,0,0,0,0,0,0,0, 19
"792","If the shitty Chinese Government didn't block YouTube over there, there'd be close to 3 billion views right now.",0,0,0,1,0,0,0,2014,11,12, 9,30,20,46,4,316,46,0, 7.071068e-01,-7.071068e-01,4,-4.338837e-01,-0.9009689,-5.000000e-01, 8.660254e-01,1,0.056179775,0,0,0,0,0,0,0,0,0,0, 19
"793","More... http://www.sunfrogshirts.com/Sunglass-World.html?24398",0,0,0,1,0,1,0,2014,11, 6, 4,54,22,45,4,310,45,0, 8.660254e-01, 5.000000e-01,5,-9.749279e-01,-0.2225209,-5.000000e-01, 8.660254e-01,1,0.068181818,1,0,0,0,0,0,0,0,0,0,  2
"794","C'mon Katy you are so close to 14,000,000 subscribers...come up with another hit like this and it will happen",0,1,0,0,0,0,0,2014,10,14,17,27,28,41,4,287,42,0,-9.659258e-01,-2.588190e-01,3, 4.338837e-01,-0.9009689,-8.660254e-01, 5.000000e-01,1,0.025974026,0,0,0,0,0,0,0,0,0,0, 19
"795","Can this channel get 500+ subscribers? You can make that happen :D",0,0,0,0,1,1,0,2015, 4,22,17,36,57,16,2,112,17,0,-9.659258e-01,-2.588190e-01,4,-4.338837e-01,-0.9009689, 8.660254e-01,-5.000000e-01,1,0.061224490,0,0,0,0,0,0,0,1,0,0, 12
"796","Made five years ago and people still don&#39;t understand the message this song is conveying. For those of you who don&#39;t, understand that domestic violence is no game, women like the fictional one in this video do exist. Living their lives with a man who abuses her, but still chooses to stay for not the love, but for the sexual feeling he gives her. This is quite sad, actually.",1,0,0,0,0,0,0,2015, 5,26, 3,40,15,21,2,146,22,0, 7.071068e-01, 7.071068e-01,3, 4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.013468013,0,0,0,0,0,0,1,0,0,0, 69
"797","look at my channel i make minecraft pe lets play",0,0,0,1,0,1,0,2014,11, 6,17,50,59,45,4,310,45,0,-9.659258e-01,-2.588190e-01,5,-9.749279e-01,-0.2225209,-5.000000e-01, 8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,1,0,0, 10
"798","Hey guys and girls check out Comedy Recipe for hilarious you tube videos, pranks, and crank calls!",0,0,0,0,1,1,0,2013, 8,11, 3,40,42,32,3,223,32,1, 7.071068e-01, 7.071068e-01,1, 7.818315e-01, 0.6234898,-8.660254e-01,-5.000000e-01,1,0.037974684,0,1,1,0,0,0,0,0,0,0, 17
"799","Katy has the voice of gold. this video really brings the lyrics to life. I am a rapper with 25000 subscribers.. thumbs up if you hate when you take a shit and the water splashes your nuts",0,1,0,0,0,1,0,2014, 9,15,17,47,57,37,3,258,38,0,-9.659258e-01,-2.588190e-01,2, 9.749279e-01,-0.2225209,-1.000000e+00,-1.836910e-16,2,0.014084507,0,0,0,0,0,0,1,0,0,0, 37
